variable_name,variable_type
EMPLOYERS_ALL_STARTDATE_ORIGINAL.01~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.01~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.02~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.02~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.03~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.03~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.04~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.04~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.05~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.05~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.06~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.06~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.07~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.07~Y_XRND,year
EMPLOYERS_ALL_STARTDATE_ORIGINAL.08~M_XRND,categorical_nominal
EMPLOYERS_ALL_STARTDATE_ORIGINAL.08~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.01~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.01~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.02~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.02~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.03~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.03~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.04~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.04~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.05~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.05~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.06~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.06~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.07~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.07~Y_XRND,year
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.08~M_XRND,categorical_nominal
EMPLOYERS_ALL_STOPDATE_MOST_RECENT.08~Y_XRND,year
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT.01_XRND,continuous
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT.02_XRND,continuous
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT.03_XRND,continuous
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT.04_XRND,continuous
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT.05_XRND,continuous
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT.06_XRND,continuous
EMPLOYERS_ALL_UID.01_XRND,continuous
EMPLOYERS_ALL_UID.02_XRND,continuous
EMPLOYERS_ALL_UID.03_XRND,continuous
EMPLOYERS_ALL_UID.04_XRND,continuous
EMPLOYERS_ALL_UID.05_XRND,continuous
EMPLOYERS_ALL_UID.06_XRND,continuous
EMPLOYERS_ALL_UID.07_XRND,continuous
EMPLOYERS_ALL_UID.08_XRND,continuous
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT_COL.01_XRND,categorical_nominal
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT_COL.02_XRND,categorical_nominal
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT_COL.03_XRND,categorical_nominal
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT_COL.04_XRND,categorical_nominal
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT_COL.05_XRND,categorical_nominal
EMPLOYERS_ALL_WHYLEFT_MOST_RECENT_COL.06_XRND,categorical_nominal
JUL93-RECIP-FILL_REVISED_XRND,year
AUG93-RECIP-FILL_REVISED_XRND,year
SEP93-RECIP-FILL_REVISED_XRND,year
JUL94-RECIP-FILL_REVISED_XRND,year
AUG94-RECIP-FILL_REVISED_XRND,year
SEP94-RECIP-FILL_REVISED_XRND,year
OCT94-RECIP-FILL_REVISED_XRND,year
NOV94-RECIP-FILL_REVISED_XRND,year
JUN96-RECIP-FILL_REVISED_XRND,year
JUL96-RECIP-FILL_REVISED_XRND,year
AUG96-RECIP-FILL_REVISED_XRND,year
SEP96-RECIP-FILL_REVISED_XRND,year
OCT96-RECIP-FILL_REVISED_XRND,year
MAY98-RECIP-FILL_REVISED_XRND,year
JUN98-RECIP-FILL_REVISED_XRND,year
JUL98-RECIP-FILL_REVISED_XRND,year
AUG98-RECIP-FILL_REVISED_XRND,year
SEP98-RECIP-FILL_REVISED_XRND,year
OCT98-RECIP-FILL_REVISED_XRND,year
NOV98-RECIP-FILL_REVISED_XRND,year
DEC98-RECIP-FILL_REVISED_XRND,year
JAN99-RECIP-FILL_REVISED_XRND,year
FEB99-RECIP-FILL_REVISED_XRND,year
MAR99-RECIP-FILL_REVISED_XRND,year
APR99-RECIP-FILL_REVISED_XRND,year
MAY99-RECIP-FILL_REVISED_XRND,year
JUN99-RECIP-FILL_REVISED_XRND,year
JUL99-RECIP-FILL_REVISED_XRND,year
AUG99-RECIP-FILL_REVISED_XRND,year
SEP99-RECIP-FILL_REVISED_XRND,year
OCT99-RECIP-FILL_REVISED_XRND,year
NOV99-RECIP-FILL_REVISED_XRND,year
DEC99-RECIP-FILL_REVISED_XRND,year
JAN00-RECIP-FILL_REVISED_XRND,year
FEB00-RECIP-FILL_REVISED_XRND,year
MAR00-RECIP-FILL_REVISED_XRND,year
APR00-RECIP-FILL_REVISED_XRND,year
MAY00-RECIP-FILL_REVISED_XRND,year
JUN00-RECIP-FILL_REVISED_XRND,year
JUL00-RECIP-FILL_REVISED_XRND,year
AUG00-RECIP-FILL_REVISED_XRND,year
SEP00-RECIP-FILL_REVISED_XRND,year
OCT00-RECIP-FILL_REVISED_XRND,year
NOV00-RECIP-FILL_REVISED_XRND,year
DEC00-RECIP-FILL_REVISED_XRND,year
JAN01-RECIP-FILL_REVISED_XRND,year
FEB01-RECIP-FILL_REVISED_XRND,year
MAR01-RECIP-FILL_REVISED_XRND,year
APR01-RECIP-FILL_REVISED_XRND,year
MAY01-RECIP-FILL_REVISED_XRND,year
JUN01-RECIP-FILL_REVISED_XRND,year
JUL01-RECIP-FILL_REVISED_XRND,year
AUG01-RECIP-FILL_REVISED_XRND,year
SEP01-RECIP-FILL_REVISED_XRND,year
OCT01-RECIP-FILL_REVISED_XRND,year
NOV01-RECIP-FILL_REVISED_XRND,year
DEC01-RECIP-FILL_REVISED_XRND,year
JAN02-RECIP-FILL_REVISED_XRND,year
FEB02-RECIP-FILL_REVISED_XRND,year
MAR02-RECIP-FILL_REVISED_XRND,year
APR02-RECIP-FILL_REVISED_XRND,year
MAY02-RECIP-FILL_REVISED_XRND,year
JUN02-RECIP-FILL_REVISED_XRND,year
JUL02-RECIP-FILL_REVISED_XRND,year
AUG02-RECIP-FILL_REVISED_XRND,year
SEP02-RECIP-FILL_REVISED_XRND,year
OCT02-RECIP-FILL_REVISED_XRND,year
NOV02-RECIP-FILL_REVISED_XRND,year
DEC02-RECIP-FILL_REVISED_XRND,year
JAN03-RECIP-FILL_XRND,year
